Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CH3OH,all
3.402168,0.024654967902272958,0.0024599436501062627,0.10620380481473624,0.13331871636711545
3.40447,0.02417856693399495,0.002444355888363016,0.1061526574715162,0.13277558029387418
3.406771,0.023930624098766416,0.002351803553012483,0.106147299178417,0.13242972683019588
3.409073,0.023661248091140917,0.0019182689295284086,0.1061321985342282,0.13171171555489755
3.411374,0.023381642614871412,0.0019470088652425216,0.10573178790444854,0.13106043938456247
3.413676,0.02277615549465714,0.0019513929232328104,0.10508927985009403,0.12981682826798402
3.415978,0.022679706218870797,0.0019971819733536,0.10444287485530376,0.12911976304752815
3.418279,0.02227247594332845,0.0014394323734780216,0.10385102702661482,0.12756293534342128
3.420581,0.02199579317238581,0.001456968605439175,0.10264687243194894,0.1260996342097739
3.422883,0.021695241641273816,0.001456968605439175,0.10139692878716228,0.12454913903387528
3.425184,0.021496984796601885,0.0014564814878846985,0.1001674440796636,0.12312091036415017
3.427486,0.021290934071058327,0.0014564814878846985,0.09900810430000956,0.1217555198589526
3.429787,0.021274859191760604,0.0014559943703302222,0.0983651091281006,0.12109596269019145
3.432089,0.0209538487233606,0.001450148959676504,0.09655059623767567,0.1189545939207128
3.434391,0.02089003632372418,0.0014472262543496453,0.09532549558816733,0.11766275816624115
3.436692,0.02099671506815453,0.000990797105805176,0.09416469445584984,0.11615220662980955
3.438994,0.0212086112043518,0.0009752093440619284,0.09236674356227714,0.11455056411069088
3.441296,0.02143755645495575,0.0009737479913984992,0.08993310426011261,0.11234440870646686
3.443597,0.02158076901597184,0.0009737479913984992,0.08766508492647009,0.11021960193384042
3.445899,0.021666501705559702,0.0009737479913984992,0.08530402613992254,0.10794427583688074
3.4482,0.02139907416815211,0.0009737479913984992,0.08293712194272129,0.1053099441022719
3.450502,0.020649887369367268,0.0009737479913984992,0.08058726685992673,0.10221090222069247
3.452804,0.019867576576878036,0.0009737479913984992,0.07836503657640496,0.0992063611446815
3.455105,0.01919778993947286,0.0009737479913984992,0.07668545524857005,0.0968569931794414
3.457407,0.01884901377046769,0.0009737479913984992,0.07433170322533966,0.09415446498720584
3.459709,0.018407685266112,0.0009737479913984992,0.07215428775682976,0.09153572101434028
3.46201,0.018357512158000917,0.0009737479913984992,0.0698930880689499,0.08922434821834932
3.464312,0.01811882455630744,0.0009756964616164052,0.06766842219765579,0.08676294321557962
3.466613,0.017960511351102583,0.0009888486355872704,0.06589823700468822,0.08484759699137807
3.468915,0.017847987196018513,0.0006766062831678416,0.0643925566438014,0.08291715012298775
3.471217,0.017726694924953868,0.0004900402598033467,0.06269592620155978,0.080912661386317
3.473518,0.017639500882702577,0.0005251127237256538,0.061575555826263874,0.0797401694326921
